,Words,BookOfEccleasiasticus_Counts
0,foolishness,0
1,hath,189
2,wholesome,3
3,takest,1
4,feelings,0
5,anger,14
6,vaivaswata,0
7,matrix,0
8,kindled,3
9,convict,0
10,diadem,0
11,rushed,0
12,saliva,0
13,revelation,0
14,indirectly,0
15,open,8
16,distortions,0
17,expecteth,0
18,perishing,0
19,rage,1
20,unbridled,0
21,looketh,5
22,washed,0
23,nursingmother,0
24,caper,0
25,prosperous,1
26,lightmindedness,0
27,imprisonment,0
28,maghavan,0
29,supported,0
30,distinctions,0
31,lambs,2
32,illumination,0
33,mercury,0
34,partakers,0
35,tell,3
36,build,3
37,neither,18
38,soft,0
39,detraction,1
40,thirsting,0
41,filial,0
42,shortness,0
43,mentally,0
44,land,7
45,nonexistent,0
46,ignorantly,1
47,warning,0
48,conceal,0
49,events,0
50,fare,3
51,occupation,0
52,commit,1
53,shocks,0
54,performs,0
55,noseconsciousness,0
56,certainty,0
57,gluttony,0
58,gospel,1
59,guest,1
60,argumentative,0
61,axletree,1
62,tillage,0
63,countercurrent,0
64,approveth,1
65,mood,0
66,impressions,0
67,bull,1
68,valuable,0
69,visible,0
70,siding,0
71,cypress,2
72,possessor,0
73,propped,1
74,sacrificial,0
75,separateness,0
76,cistern,0
77,amiable,0
78,treats,0
79,let,44
80,coward,1
81,handle,0
82,something,0
83,descending,0
84,lake,0
85,drew,0
86,disquieted,1
87,felt,0
88,ends,1
89,afar,3
90,remedy,4
91,casts,0
92,i,0
93,affliction,8
94,illuminating,0
95,pained,0
96,aristotle,0
97,disadvantages,0
98,imperishable,0
99,incantations,0
100,debt,0
101,ruled,0
102,join,3
103,conveys,0
104,winds,0
105,discerning,0
106,convenient,0
107,survive,0
108,adorable,0
109,staying,0
110,united,0
111,origination,0
112,aged,3
113,limitless,0
114,individuality,0
115,exalting,0
116,sweareth,3
117,bewitching,0
118,great,58
119,overtaken,0
120,hardly,2
121,yielding,0
122,voyage,0
123,created,21
124,seventh,0
125,suspect,1
126,embrace,1
127,came,10
128,soothsayer,0
129,addressing,0
130,explained,0
131,violent,1
132,joyful,1
133,idle,3
134,regrets,0
135,sodium,0
136,insuperable,0
137,riot,0
138,reverently,0
139,elsewhere,0
140,kingdoms,0
141,exquisite,1
142,succession,0
143,joy,17
144,fears,1
145,iniquity,15
146,sunbeam,0
147,suns,0
148,thus,2
149,asunder,0
150,wonder,2
151,withheld,0
152,injurious,3
153,fillet,0
154,gives,0
155,pamper,0
156,skillful,0
157,prepareth,0
158,aversion,0
159,kidneys,0
160,play,1
161,disenchantment,0
162,afflicted,2
163,transferring,0
164,decease,1
165,sassing,0
166,possesseth,2
167,conformity,0
168,agni,0
169,inaudible,0
170,leave,16
171,reserveth,1
172,joyfulness,2
173,drying,1
174,appeared,1
175,ended,0
176,detach,0
177,rises,0
178,immutable,0
179,flows,0
180,asked,1
181,folding,0
182,wand,1
183,criminal,0
184,victory,0
185,marrow,0
186,decreaseth,1
187,abandoning,0
188,although,1
189,limit,0
190,eagle,0
191,glass,0
192,refreshment,0
193,song,0
194,generalization,0
195,polestar,0
196,provide,0
197,diligently,2
198,earnestly,0
199,bibles,1
200,smites,0
201,idiosyncrasies,0
202,deviseth,0
203,respondedthe,0
204,forming,0
205,distressdistress,0
206,charges,1
207,forgotten,3
208,sojourning,0
209,connected,0
210,suffers,0
211,meetings,0
212,abuse,2
213,admit,0
214,shrinking,0
215,kings,6
216,confections,1
217,creations,0
218,short,4
219,existed,0
220,jeroboam,1
221,neitherpainfulnorpleasant,0
222,defective,1
223,worthy,3
224,fond,0
225,ruler,7
226,pricketh,2
227,contents,0
228,considereth,1
229,devotes,0
230,reconciliation,6
231,entrap,1
232,everlastingness,0
233,vestments,1
234,tale,1
235,weighed,1
236,heap,5
237,common,0
238,grove,0
239,amazed,0
240,seeks,0
241,flourished,1
242,almond,0
243,befall,1
244,rolling,1
245,exhaustion,0
246,brings,0
247,looked,5
248,resolves,0
249,places,4
250,asketh,1
251,armpit,0
252,sacrifice,9
253,quarrel,2
254,longed,0
255,stirreth,0
256,spiritual,0
257,breaks,0
258,devoureth,0
259,fragmentary,0
260,coarse,0
261,jesse,1
262,abnormal,0
263,jest,0
264,stronger,2
265,inclineth,0
266,usually,1
267,animal,0
268,roguery,0
269,tile,0
270,galaxies,0
271,drives,0
272,condemnation,0
273,renounce,0
274,acknowledgment,1
275,sat,1
276,harps,1
277,precedes,0
278,work,34
279,motions,0
280,dungcarts,0
281,arranging,0
282,waketh,2
283,hither,0
284,giveth,6
285,robberies,0
286,giants,1
287,lot,7
288,nigh,1
289,overthrow,6
290,bulk,0
291,ownership,0
292,enumerating,0
293,comparing,0
294,license,1
295,exposed,1
296,lands,1
297,stops,0
298,attribution,0
299,seducers,0
300,rose,4
301,rupa,0
302,whales,1
303,deficiency,0
304,poetry,0
305,honoured,10
306,ram,0
307,merchants,1
308,insatiable,1
309,waxes,0
310,paramatman,0
311,shineth,1
312,husbandman,0
313,fidelity,6
314,vacancy,0
315,absorbing,0
316,preserver,0
317,reward,11
318,stumbling,1
319,lightens,0
320,past,1
321,surrender,0
322,scandal,0
323,unnoticed,0
324,excellence,0
325,entity,0
326,promise,0
327,potencies,0
328,astronomer,0
329,overturneth,0
330,saved,2
331,familiarly,0
332,lifechannels,0
333,selfrealization,0
334,mocker,1
335,table,5
336,wandered,2
337,located,0
338,mould,0
339,think,7
340,filthiness,0
341,perhaps,0
342,welling,0
343,links,0
344,swallow,0
345,grandest,0
346,womb,4
347,arose,2
348,theft,1
349,watered,1
350,spoke,3
351,ripe,2
352,drifting,0
353,torments,1
354,warm,1
355,hunter,0
356,examines,0
357,prajapati,0
358,thief,2
359,expends,0
360,devotion,0
361,practising,0
362,lions,1
363,cluster,1
364,vanishing,0
365,shrinks,0
366,resting,0
367,irritated,0
368,grant,1
369,application,0
370,planter,0
371,portions,1
372,robes,0
373,takes,1
374,disinterested,0
375,youth,6
376,workmaster,1
377,joints,0
378,projections,0
379,stalk,0
380,supplement,0
381,delusion,0
382,smothers,0
383,disorder,0
384,married,2
385,employments,1
386,imitate,0
387,sheweth,5
388,crossed,0
389,firstfruits,4
390,poured,5
391,blemish,2
392,intestines,0
393,withdrawal,0
394,signs,2
395,quieted,0
396,thefts,0
397,high,60
398,luxuriant,0
399,endowment,0
400,differentiate,0
401,striking,0
402,promised,0
