,Words,TaoTeChing_Counts
0,foolishness,0
1,hath,0
2,wholesome,0
3,takest,0
4,feelings,0
5,anger,1
6,vaivaswata,0
7,matrix,0
8,kindled,0
9,convict,0
10,diadem,0
11,rushed,0
12,saliva,0
13,revelation,0
14,indirectly,0
15,open,2
16,distortions,0
17,expecteth,0
18,perishing,0
19,rage,1
20,unbridled,0
21,looketh,0
22,washed,0
23,nursingmother,1
24,caper,0
25,prosperous,0
26,lightmindedness,0
27,imprisonment,0
28,maghavan,0
29,supported,0
30,distinctions,0
31,lambs,0
32,illumination,0
33,mercury,0
34,partakers,0
35,tell,1
36,build,0
37,neither,1
38,soft,7
39,detraction,0
40,thirsting,0
41,filial,2
42,shortness,1
43,mentally,0
44,land,2
45,nonexistent,1
46,ignorantly,0
47,warning,0
48,conceal,0
49,events,0
50,fare,0
51,occupation,0
52,commit,0
53,shocks,0
54,performs,0
55,noseconsciousness,0
56,certainty,0
57,gluttony,0
58,gospel,0
59,guest,3
60,argumentative,0
61,axletree,0
62,tillage,0
63,countercurrent,0
64,approveth,0
65,mood,0
66,impressions,0
67,bull,0
68,valuable,1
69,visible,0
70,siding,0
71,cypress,0
72,possessor,3
73,propped,0
74,sacrificial,0
75,separateness,0
76,cistern,0
77,amiable,0
78,treats,1
79,let,7
80,coward,0
81,handle,0
82,something,1
83,descending,0
84,lake,0
85,drew,0
86,disquieted,0
87,felt,0
88,ends,7
89,afar,0
90,remedy,0
91,casts,0
92,i,2
93,affliction,0
94,illuminating,0
95,pained,1
96,aristotle,0
97,disadvantages,0
98,imperishable,0
99,incantations,0
100,debt,0
101,ruled,1
102,join,0
103,conveys,1
104,winds,0
105,discerning,2
106,convenient,0
107,survive,0
108,adorable,0
109,staying,0
110,united,0
111,origination,0
112,aged,0
113,limitless,0
114,individuality,0
115,exalting,1
116,sweareth,0
117,bewitching,0
118,great,42
119,overtaken,0
120,hardly,0
121,yielding,0
122,voyage,0
123,created,0
124,seventh,0
125,suspect,0
126,embrace,3
127,came,1
128,soothsayer,0
129,addressing,0
130,explained,0
131,violent,3
132,joyful,0
133,idle,0
134,regrets,0
135,sodium,0
136,insuperable,0
137,riot,0
138,reverently,0
139,elsewhere,1
140,kingdoms,0
141,exquisite,1
142,succession,0
143,joy,0
144,fears,0
145,iniquity,0
146,sunbeam,0
147,suns,0
148,thus,33
149,asunder,0
150,wonder,0
151,withheld,0
152,injurious,1
153,fillet,0
154,gives,4
155,pamper,1
156,skillful,0
157,prepareth,0
158,aversion,0
159,kidneys,0
160,play,0
161,disenchantment,0
162,afflicted,0
163,transferring,0
164,decease,0
165,sassing,0
166,possesseth,0
167,conformity,1
168,agni,0
169,inaudible,1
170,leave,3
171,reserveth,0
172,joyfulness,0
173,drying,0
174,appeared,7
175,ended,0
176,detach,0
177,rises,1
178,immutable,0
179,flows,0
180,asked,0
181,folding,0
182,wand,0
183,criminal,0
184,victory,1
185,marrow,0
186,decreaseth,0
187,abandoning,0
188,although,1
189,limit,2
190,eagle,0
191,glass,0
192,refreshment,0
193,song,0
194,generalization,0
195,polestar,0
196,provide,0
197,diligently,0
198,earnestly,1
199,bibles,0
200,smites,1
201,idiosyncrasies,0
202,deviseth,0
203,respondedthe,0
204,forming,0
205,distressdistress,0
206,charges,0
207,forgotten,0
208,sojourning,0
209,connected,0
210,suffers,0
211,meetings,0
212,abuse,0
213,admit,1
214,shrinking,3
215,kings,6
216,confections,0
217,creations,0
218,short,0
219,existed,0
220,jeroboam,0
221,neitherpainfulnorpleasant,0
222,defective,0
223,worthy,0
224,fond,1
225,ruler,3
226,pricketh,0
227,contents,0
228,considereth,0
229,devotes,2
230,reconciliation,1
231,entrap,0
