,Words,Upanishad_Counts
0,foolishness,0
1,hath,0
2,wholesome,0
3,takest,0
4,feelings,0
5,anger,3
6,vaivaswata,1
7,matrix,0
8,kindled,1
9,convict,0
10,diadem,0
11,rushed,2
12,saliva,0
13,revelation,0
14,indirectly,1
15,open,3
16,distortions,0
17,expecteth,0
18,perishing,0
19,rage,0
20,unbridled,0
21,looketh,0
22,washed,0
23,nursingmother,0
24,caper,0
25,prosperous,0
26,lightmindedness,0
27,imprisonment,0
28,maghavan,1
29,supported,1
30,distinctions,0
31,lambs,0
32,illumination,2
33,mercury,0
34,partakers,0
35,tell,4
36,build,0
37,neither,6
38,soft,0
39,detraction,0
40,thirsting,0
41,filial,0
42,shortness,0
43,mentally,0
44,land,0
45,nonexistent,0
46,ignorantly,0
47,warning,0
48,conceal,0
49,events,0
50,fare,0
51,occupation,0
52,commit,0
53,shocks,0
54,performs,3
55,noseconsciousness,0
56,certainty,0
57,gluttony,0
58,gospel,0
59,guest,7
60,argumentative,0
61,axletree,0
62,tillage,0
63,countercurrent,0
64,approveth,0
65,mood,0
66,impressions,0
67,bull,0
68,valuable,0
69,visible,15
70,siding,0
71,cypress,0
72,possessor,0
73,propped,0
74,sacrificial,1
75,separateness,0
76,cistern,0
77,amiable,0
78,treats,0
79,let,3
80,coward,0
81,handle,1
82,something,1
83,descending,0
84,lake,0
85,drew,0
86,disquieted,0
87,felt,1
88,ends,1
89,afar,0
90,remedy,0
91,casts,0
92,i,0
93,affliction,0
94,illuminating,0
95,pained,0
96,aristotle,0
97,disadvantages,0
98,imperishable,7
99,incantations,0
100,debt,0
101,ruled,0
102,join,1
103,conveys,0
104,winds,0
105,discerning,1
106,convenient,0
107,survive,0
108,adorable,1
109,staying,0
110,united,4
111,origination,0
112,aged,1
113,limitless,2
114,individuality,0
115,exalting,0
116,sweareth,0
117,bewitching,0
118,great,23
119,overtaken,0
120,hardly,0
121,yielding,0
122,voyage,0
123,created,6
124,seventh,0
125,suspect,0
126,embrace,0
127,came,2
128,soothsayer,0
129,addressing,0
130,explained,2
131,violent,0
132,joyful,1
133,idle,0
134,regrets,0
135,sodium,0
136,insuperable,0
137,riot,0
138,reverently,1
139,elsewhere,0
140,kingdoms,0
141,exquisite,0
142,succession,0
143,joy,6
144,fears,2
145,iniquity,0
146,sunbeam,0
147,suns,0
148,thus,22
149,asunder,1
150,wonder,0
151,withheld,0
152,injurious,0
153,fillet,0
154,gives,3
155,pamper,0
156,skillful,0
157,prepareth,0
158,aversion,0
159,kidneys,0
160,play,0
161,disenchantment,0
162,afflicted,0
163,transferring,0
164,decease,0
165,sassing,0
166,possesseth,0
167,conformity,0
168,agni,5
169,inaudible,0
170,leave,0
171,reserveth,0
172,joyfulness,0
173,drying,0
174,appeared,3
175,ended,0
176,detach,0
177,rises,3
178,immutable,1
179,flows,1
180,asked,5
181,folding,0
182,wand,0
183,criminal,0
184,victory,8
185,marrow,0
186,decreaseth,0
187,abandoning,0
188,although,15
189,limit,0
190,eagle,0
191,glass,0
192,refreshment,0
193,song,0
194,generalization,0
195,polestar,0
196,provide,0
197,diligently,0
198,earnestly,0
199,bibles,0
200,smites,0
201,idiosyncrasies,0
202,deviseth,0
203,respondedthe,0
204,forming,0
205,distressdistress,0
206,charges,0
207,forgotten,0
208,sojourning,0
209,connected,0
210,suffers,1
211,meetings,0
212,abuse,0
213,admit,0
214,shrinking,0
215,kings,0
216,confections,0
217,creations,0
218,short,1
219,existed,1
220,jeroboam,0
221,neitherpainfulnorpleasant,0
222,defective,0
223,worthy,1
224,fond,0
225,ruler,9
226,pricketh,0
227,contents,0
228,considereth,0
229,devotes,0
230,reconciliation,0
231,entrap,0
