,Words,YogaSutra_Counts
0,foolishness,0
1,hath,2
2,wholesome,1
3,takest,0
4,feelings,0
5,anger,0
6,vaivaswata,0
7,matrix,1
8,kindled,0
9,convict,0
10,diadem,0
11,rushed,0
12,saliva,0
13,revelation,2
14,indirectly,0
15,open,7
16,distortions,1
17,expecteth,0
18,perishing,0
19,rage,0
20,unbridled,1
21,looketh,0
22,washed,0
23,nursingmother,0
24,caper,0
25,prosperous,0
26,lightmindedness,1
27,imprisonment,2
28,maghavan,0
29,supported,0
30,distinctions,1
31,lambs,0
32,illumination,9
33,mercury,0
34,partakers,1
35,tell,5
36,build,5
37,neither,7
38,soft,0
39,detraction,0
40,thirsting,0
41,filial,0
42,shortness,0
43,mentally,0
44,land,1
45,nonexistent,0
46,ignorantly,0
47,warning,1
48,conceal,0
49,events,3
50,fare,0
51,occupation,0
52,commit,1
53,shocks,1
54,performs,0
55,noseconsciousness,0
56,certainty,1
57,gluttony,1
58,gospel,0
59,guest,0
60,argumentative,1
61,axletree,0
62,tillage,0
63,countercurrent,1
64,approveth,0
65,mood,3
66,impressions,4
67,bull,0
68,valuable,0
69,visible,8
70,siding,0
71,cypress,0
72,possessor,1
73,propped,0
74,sacrificial,0
75,separateness,9
76,cistern,0
77,amiable,0
78,treats,0
79,let,16
80,coward,0
81,handle,2
82,something,11
83,descending,1
84,lake,0
85,drew,0
86,disquieted,0
87,felt,5
88,ends,0
89,afar,0
90,remedy,2
91,casts,2
92,i,0
93,affliction,0
94,illuminating,1
95,pained,0
96,aristotle,1
97,disadvantages,1
98,imperishable,0
99,incantations,2
100,debt,2
101,ruled,1
102,join,0
103,conveys,0
104,winds,2
105,discerning,0
106,convenient,0
107,survive,1
108,adorable,0
109,staying,0
110,united,1
111,origination,0
112,aged,0
113,limitless,1
114,individuality,9
115,exalting,0
116,sweareth,0
117,bewitching,0
118,great,34
119,overtaken,0
120,hardly,1
121,yielding,0
122,voyage,0
123,created,0
124,seventh,1
125,suspect,2
126,embrace,0
127,came,2
128,soothsayer,0
129,addressing,1
130,explained,3
131,violent,0
132,joyful,0
133,idle,0
134,regrets,1
135,sodium,1
136,insuperable,1
137,riot,0
138,reverently,0
139,elsewhere,0
140,kingdoms,0
141,exquisite,0
142,succession,4
143,joy,14
144,fears,5
145,iniquity,0
146,sunbeam,0
147,suns,2
148,thus,44
149,asunder,1
150,wonder,1
151,withheld,0
152,injurious,0
153,fillet,0
154,gives,8
155,pamper,0
156,skillful,0
157,prepareth,0
158,aversion,0
159,kidneys,0
160,play,2
161,disenchantment,0
162,afflicted,2
163,transferring,2
164,decease,0
165,sassing,1
166,possesseth,0
167,conformity,1
168,agni,0
169,inaudible,0
170,leave,0
171,reserveth,0
172,joyfulness,0
173,drying,0
174,appeared,0
175,ended,2
176,detach,1
177,rises,2
178,immutable,0
179,flows,1
180,asked,2
181,folding,0
182,wand,0
183,criminal,1
184,victory,7
185,marrow,0
186,decreaseth,0
187,abandoning,0
188,although,0
189,limit,2
190,eagle,0
191,glass,0
192,refreshment,0
193,song,1
194,generalization,1
195,polestar,1
196,provide,0
197,diligently,0
198,earnestly,0
199,bibles,0
200,smites,0
201,idiosyncrasies,1
202,deviseth,0
203,respondedthe,0
204,forming,4
205,distressdistress,0
206,charges,0
207,forgotten,2
208,sojourning,0
209,connected,0
210,suffers,0
211,meetings,1
212,abuse,0
213,admit,1
214,shrinking,0
215,kings,0
216,confections,0
217,creations,1
218,short,3
219,existed,0
220,jeroboam,0
221,neitherpainfulnorpleasant,0
222,defective,0
223,worthy,0
224,fond,0
225,ruler,0
226,pricketh,0
227,contents,0
228,considereth,0
229,devotes,0
230,reconciliation,1
231,entrap,0
232,everlastingness,1
233,vestments,0
234,tale,0
235,weighed,0
236,heap,0
237,common,1
238,grove,0
239,amazed,0
240,seeks,5
241,flourished,0
242,almond,0
243,befall,0
244,rolling,1
245,exhaustion,0
246,brings,14
247,looked,1
248,resolves,0
249,places,4
250,asketh,0
251,armpit,0
252,sacrifice,7
253,quarrel,0
254,longed,1
255,stirreth,0
256,spiritual,300
257,breaks,3
258,devoureth,0
259,fragmentary,0
260,coarse,0
261,jesse,0
262,abnormal,2
263,jest,0
264,stronger,2
265,inclineth,0
266,usually,0
267,animal,4
268,roguery,1
269,tile,1
270,galaxies,1
271,drives,1
272,condemnation,0
273,renounce,0
274,acknowledgment,1
275,sat,0
276,harps,0
277,precedes,1
278,work,17
279,motions,3
280,dungcarts,0
281,arranging,1
282,waketh,0
283,hither,2
284,giveth,0
285,robberies,0
286,giants,0
287,lot,0
288,nigh,0
289,overthrow,0
290,bulk,0
291,ownership,0
292,enumerating,1
293,comparing,3
294,license,0
295,exposed,0
296,lands,1
297,stops,0
298,attribution,1
299,seducers,0
300,rose,1
301,rupa,0
302,whales,0
303,deficiency,0
304,poetry,2
305,honoured,0
306,ram,0
307,merchants,0
308,insatiable,0
309,waxes,2
310,paramatman,0
311,shineth,0
312,husbandman,5
313,fidelity,0
314,vacancy,0
315,absorbing,1
316,preserver,0
317,reward,2
318,stumbling,0
319,lightens,1
320,past,24
321,surrender,1
322,scandal,0
323,unnoticed,1
324,excellence,0
325,entity,1
326,promise,2
327,potencies,8
328,astronomer,1
329,overturneth,0
330,saved,1
331,familiarly,0
332,lifechannels,1
333,selfrealization,1
334,mocker,0
335,table,1
336,wandered,0
337,located,1
338,mould,1
339,think,7
340,filthiness,0
341,perhaps,12
342,welling,1
343,links,1
344,swallow,0
345,grandest,0
346,womb,2
347,arose,1
348,theft,3
349,watered,0
350,spoke,0
351,ripe,0
352,drifting,0
353,torments,0
354,warm,0
355,hunter,0
356,examines,0
357,prajapati,0
358,thief,2
359,expends,0
360,devotion,2
361,practising,0
362,lions,0
363,cluster,0
364,vanishing,0
365,shrinks,0
366,resting,4
367,irritated,1
368,grant,0
369,application,3
370,planter,0
371,portions,0
372,robes,0
373,takes,12
374,disinterested,1
375,youth,1
376,workmaster,0
377,joints,1
378,projections,1
379,stalk,0
380,supplement,1
381,delusion,7
382,smothers,1
383,disorder,0
384,married,0
385,employments,0
386,imitate,0
387,sheweth,0
388,crossed,0
389,firstfruits,0
390,poured,0
391,blemish,0
392,intestines,0
393,withdrawal,2
394,signs,1
395,quieted,0
396,thefts,1
397,high,10
398,luxuriant,0
399,endowment,1
400,differentiate,0
401,striking,1
402,promised,0
403,acquaint,0
404,out,0
405,caused,1
406,reservoir,2
407,sign,0
408,dependent,0
409,crosses,0
410,antetype,1
411,thunder,0
412,examined,0
413,easily,5
414,claiming,0
415,forsaken,0
416,touching,0
417,resistance,1
418,villager,0
419,redeemed,1
420,stress,2
421,haughtiness,0
422,keep,4
423,revealeth,0
424,concupiscence,0
425,selfconscious,5
426,better,6
427,dreamless,1
428,aggregates,0
429,displayed,0
430,mahomet,1
431,mocketh,0
432,pleasant,0
433,illusion,8
434,dissolved,1
435,dhamma,0
436,identity,1
437,costly,0
438,separation,2
439,frivolous,1
440,laughingstock,0
441,borders,1
442,feign,1
443,sendeth,0
444,penetrable,1
445,disgraced,0
446,steadies,1
447,equivalent,1
448,ministry,0
449,begged,0
450,enlighteneth,0
451,thence,0
452,ceaselessly,3
453,crouch,0
454,driver,0
455,full,22
456,ants,0
457,affirmations,2
458,discomfort,0
459,joining,0
460,flax,0
461,intuitional,1
462,perverteth,0
463,club,0
464,causes,4
465,grape,0
466,embodying,1
467,sinews,0
468,needles,2
469,knows,10
470,nowhere,0
471,houses,0
472,basin,0
473,employment,0
474,expedient,0
475,omen,0
476,flushes,1
477,naming,0
478,murders,1
479,temperate,0
480,morsel,0
481,spirit,29
482,diviner,1
483,magnified,0
484,brimful,0
485,base,0
486,flash,2
487,knowers,0
488,artificers,0
489,root,4
490,whirlwinds,1
491,laden,0
492,disciples,3
493,referred,0
494,channel,2
495,food,1
496,accrue,0
497,schismatical,0
498,ago,1
499,burn,0
500,equanimous,0
501,purpose,5
502,pratyagatman,0
503,whilst,0
504,goal,6
505,theory,0
506,departs,0
507,fleetness,0
508,compare,0
509,opposition,2
510,distress,0
511,incensed,0
512,getteth,0
513,sansara,1
514,thrust,0
515,merely,2
516,advantage,2
517,worship,1
518,forgeth,0
519,wilful,0
520,pentapolis,0
521,vigour,3
522,churlishness,0
523,interior,8
524,contradistinction,1
525,honours,0
526,sureties,0
527,cattle,0
528,temporary,0
529,murder,0
530,condition,7
531,concerned,4
532,marbles,1
533,chosen,0
534,upanishads,4
535,creatures,1
536,live,14
537,naturalist,2
538,tabernacles,0
539,sully,0
540,definite,2
541,measure,5
542,position,3
543,hot,0
544,practice,11
545,doings,1
546,explain,0
547,farreaching,1
548,attribute,2
549,minutest,0
550,unwinding,0
551,naves,0
552,longlived,0
553,urinating,0
554,shalt,6
555,earnest,1
556,electrons,0
557,nights,0
558,cheerful,0
559,contemplation,6
560,obtained,0
561,net,0
562,bound,0
563,herb,0
564,brahmana,0
565,thou,10
566,savatthi,0
567,torrent,1
568,coordinated,0
569,blood,4
570,spacious,0
571,perverse,0
572,admonish,0
573,simpler,1
574,complete,6
575,wrestled,0
576,bashfulness,0
577,dares,0
578,manifested,5
579,assemblies,0
580,holocaust,0
581,awakes,4
582,wronging,0
583,counts,0
584,manifold,3
585,emblem,0
586,meddle,0
587,continent,0
588,submit,0
589,excessive,1
590,moving,2
591,surely,2
592,nest,0
593,extremes,0
594,nostrils,0
595,analysis,3
596,delighteth,0
597,blamed,0
598,wave,1
599,accused,0
600,palate,2
601,amended,0
602,cessation,2
603,complaint,0
604,lending,0
605,allknowing,0
606,lift,2
607,inclining,0
608,briefly,1
609,nexus,1
610,thing,8
611,assuredly,0
612,gait,0
613,meddleth,0
614,lifespan,2
615,tilleth,0
616,accustoming,1
617,bowels,0
618,wordsworth,1
619,correction,0
620,conquers,1
621,notices,0
622,searched,0
623,lovedst,0
624,loud,0
625,reacheth,0
626,greed,3
627,swords,0
628,meddling,0
629,sutras,2
630,angelic,0
631,entreaty,0
632,semblance,0
633,materialistic,2
634,concurring,0
635,retailer,0
636,feces,0
637,lovest,0
638,classified,0
639,prayest,0
640,arrogancy,0
641,thinly,1
642,deserveth,0
643,unwearying,0
644,pleasures,1
645,remembers,0
646,orderly,1
647,sustained,1
648,knoweth,2
649,doom,1
650,total,1
651,rewards,0
652,subtlest,0
653,err,0
654,vantage,1
655,dealer,0
656,reflecting,1
657,bud,0
658,mourn,0
659,negligence,0
660,egyptians,0
661,renowned,0
662,ceased,3
663,retract,0
664,reckoned,1
665,emotions,5
666,neglecteth,0
667,maintaineth,0
668,placed,0
669,ensnared,0
670,spiritually,0
671,solution,5
672,kinds,1
673,jivas,0
674,tonguesphere,0
675,beautified,0
676,parting,0
677,quality,7
678,fulfilment,0
679,moves,1
680,showers,1
681,nine,2
682,troubleth,0
683,nutriments,0
684,mingling,1
685,resemblances,0
686,train,2
687,examine,0
688,niggardliness,0
689,gain,8
690,byword,0
691,secondary,1
692,perish,0
693,stage,16
694,luminous,10
695,waged,1
696,attention,25
697,shrine,0
698,spent,1
699,procedure,0
700,stressfulness,0
701,ancients,1
702,contemplatives,0
703,confoundeth,0
704,centres,1
705,unanimous,0
706,eloquent,0
707,commentator,9
708,becoming,3
709,uneasy,0
710,stability,3
711,elegantlooking,0
712,shin,0
713,divinity,1
714,major,0
715,sakes,0
716,beating,1
717,region,2
718,mitigated,0
719,impudence,0
720,worldview,1
721,divines,1
722,blossoms,0
723,qualities,2
724,removeth,0
725,ferreted,0
726,centre,6
727,revealer,0
728,creates,1
729,denoting,0
730,perceive,10
731,contemplative,0
732,for,1
733,undivided,1
734,coins,1
735,birds,1
736,smallest,0
737,dart,0
738,possessed,1
739,inclines,0
740,thinks,3
741,everlasting,10
742,side,17
743,beholds,4
744,temper,2
745,plant,3
746,overturned,0
747,beds,0
748,physician,0
749,remnant,0
750,forward,4
751,candy,1
752,rapines,0
753,hinges,0
754,remote,0
755,teachings,3
756,distance,1
757,wronged,0
758,realized,3
759,gautama,0
760,draweth,0
761,mayest,0
762,seldom,0
763,unmanageable,0
764,simile,1
765,posts,0
766,real,26
767,snorteth,0
768,faster,0
769,mockery,0
770,inculcate,0
771,hides,0
772,vessels,0
773,anteroom,1
774,carrying,3
775,hired,0
776,blissful,0
777,procure,0
778,vanquishes,0
779,objects,5
780,kinsman,0
781,fivefold,1
782,mahat,1
783,mitre,0
784,kindly,1
785,insist,0
786,sent,1
787,fourfold,1
788,onepointedness,8
789,sudden,0
790,forecasteth,0
791,mortal,3
792,petition,0
793,named,0
794,disclose,0
795,observer,0
796,fourth,7
797,chooseth,0
798,trembled,0
799,onias,0
800,bethhoron,0
801,rest,10
802,book,7
803,paradoxical,0
804,betweenthetwo,0
805,calculates,1
806,good,6
807,kindleth,0
808,visit,0
809,purged,0
810,voices,0
811,supremacy,1
812,upholds,1
813,encompassed,1
814,oath,0
815,coat,0
816,grain,1
817,kids,0
818,sackcloth,0
819,likeness,1
820,reproducing,1
821,christ,1
822,tyranny,2
823,injustices,0
824,flight,0
825,overwhelmeth,0
826,method,2
827,devised,0
828,actings,0
829,spark,0
830,feed,0
831,unthankful,0
832,much,12
833,property,1
834,altar,1
835,changeable,0
836,drinking,0
837,risen,4
838,sky,3
839,original,2
840,persecutors,0
841,hide,0
842,tendons,0
843,earring,0
844,famine,0
845,israelites,0
846,supporting,1
847,irreverence,0
848,accusation,0
849,downward,1
850,nearer,5
851,needy,0
852,bitterest,0
853,styled,0
854,renew,0
855,priestly,0
856,clothe,0
857,flit,1
858,oilofthejoints,0
859,solace,3
860,dye,0
861,frogs,0
862,tookest,0
863,mouth,3
864,grindeth,0
865,fleshless,0
866,child,2
867,lifework,1
868,conditions,12
869,shamefaced,0
870,avyaktam,0
871,pay,0
872,horses,0
873,variations,0
874,day,18
875,accord,0
876,undecaying,0
877,merciless,0
878,belieth,0
879,unholiness,2
880,vapours,0
881,painpain,0
882,protested,0
883,speaking,1
884,sparks,0
885,allencircling,0
886,deluded,0
887,rivalry,0
888,crouching,0
889,stayed,0
890,strangers,0
891,turns,4
892,someone,0
893,raising,1
894,paschal,0
895,whole,23
896,showed,0
897,chief,1
898,delicately,0
899,universal,9
900,soullife,1
901,sacred,3
902,dissembler,0
903,mansions,1
904,samadhi,1
905,facet,1
906,sacrificeth,0
907,virgin,0
908,livid,0
909,buds,1
910,renown,0
911,rude,0
912,unites,1
913,gen,0
914,naught,1
